,Positive,Negative,Neutral,Compound
2018-01-09,0.19261658031088086,0.00406217616580311,0.8033264248704666,0.4550906735751294
2018-01-16,0.2139759036144579,0.006506024096385543,0.7795180722891565,0.4565024096385544
2018-01-23,0.164575221238938,0.04971681415929203,0.7857168141592918,0.36046991150442487
2018-01-30,0.15653061224489798,0.015448979591836734,0.8280306122448982,0.37033979591836735
2018-02-06,0.16211111111111115,0.010050505050505051,0.8278484848484851,0.45330707070707066
2018-02-13,0.15441860465116283,0.012790697674418606,0.8327906976744188,0.4152325581395348
2018-02-20,0.17445783132530115,0.035891566265060244,0.7896746987951808,0.35569518072289147
2018-02-27,0.1516117647058824,0.02443529411764706,0.8239529411764706,0.32743294117647054
2018-03-06,0.15666,0.02094,0.8223800000000004,0.36629699999999993
2018-03-13,0.17004878048780492,0.009341463414634146,0.8205853658536585,0.4041317073170732
2018-03-20,0.0972,0.05308571428571429,0.8497142857142858,0.2215942857142857
2018-03-27,0.1357391304347826,0.04052173913043478,0.8237391304347826,0.2786260869565217
2018-04-03,0.16988,0.00796,0.8221600000000001,0.442048
2018-04-10,0.21050000000000002,0.0026818181818181815,0.786818181818182,0.5498545454545454
2018-04-17,0.16710714285714287,0.02246428571428571,0.8104285714285712,0.4737107142857142
2018-04-24,0.19966666666666658,0.010625,0.7896666666666667,0.4669291666666666
2018-05-01,0.19106249999999997,0.0,0.8089374999999999,0.520325
2018-05-08,0.18684615384615383,0.0,0.8131538461538461,0.5001076923076924
2018-05-15,0.15382352941176472,0.0032941176470588237,0.8429411764705882,0.3809411764705882
2018-05-22,0.1400588235294118,0.017941176470588235,0.8420000000000001,0.4206470588235294
2018-05-29,0.15696666666666667,0.012533333333333334,0.8305333333333333,0.44906
2018-06-05,0.15451515151515155,0.012424242424242423,0.8330606060606062,0.47099393939393935
2018-06-12,0.17605263157894732,0.010210526315789474,0.8137894736842105,0.5454789473684211
2018-06-19,0.13606249999999998,0.04175,0.8221250000000001,0.36540624999999993
